,rand_smi,cano_smi,CT_TOX
0,Cl[C@H]1[C@H](Cl)[C@H](Cl)[C@H]([C@H](Cl)[C@@H]1Cl)Cl,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,0
1,C(=O)([C@@H](O)[C@H]([C@H](O)[C@H](C([O-])=O)O)O)[O-],O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-],0
2,C1(C=C/C(C(=O)C=1)=C/C=c1ccc(=C(N)[NH3+])cc1)/C(=[NH+]/[H])N,[H]/[NH+]=C(\N)C1=CC(=O)/C(=C\C=c2ccc(=C(N)[NH3+])cc2)C=C1,0
3,[NH+](=C(\N)c1ccc(OCCCCCOc2ccc(cc2)/C(N)=[NH+]/[H])cc1)\[H],[H]/[NH+]=C(\N)c1ccc(OCCCCCOc2ccc(/C(N)=[NH+]/[H])cc2)cc1,0
4,[N+]([O-])(=O)[O-],O=[N+]([O-])[O-],0
5,[N]=O,[N]=O,0
6,[O-][99Tc](=O)(=O)=O,O=[99Tc](=O)(=O)[O-],0
7,O=P([O-])(F)[O-],O=P([O-])([O-])F,0
8,[O-]S([O-])(=O)=O,O=S(=O)([O-])[O-],0
9,S=S([O-])([O-])=O,O=S([O-])([O-])=S,0
10,[Se],[Se],1
11,n1ccnc(c1)C(=O)N[C@@H](Cc1ccccc1)C(N[C@H](B(O)O)CC(C)C)=O,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0
12,[C@@H](Cc1ccccc1)(NC(=O)c1cnccn1)C(N[C@H](B(O)O)CC(C)C)=O,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,1
13,C(c1c(Cl)ccc(c1)Cl)(=O)NCC(=O)N[C@@H](CC(C)C)B(O)O,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,1
14,C#CC1(OC(=O)N)CCCCC1,C#CC1(OC(N)=O)CCCCC1,0
15,c12ccccc2[C@@H](CC1)[NH2+]CC#C,C#CC[NH2+][C@@H]1CCc2ccccc21,0
16,c12c(nc(nc1N)N)ncc(CC(CC#C)c1ccc(C(=O)N[C@H](C(=O)[O-])CCC([O-])=O)cc1)n2,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,0
17,C#N,C#N,0
18,N#C[Fe-2](C#N)(C#N)(C#N)(N=O)C#N,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O,0
19,C1([C@H](OC(=O)C=1O)[C@@H](O)CO)[O-],O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O,0
20,[C@@H]([NH3+])(C(=O)[O-])CS,[NH3+][C@@H](CS)C(=O)[O-],0
21,[C@]1([C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]([C@H]2O)O)[C@H](O1)CO)(O)CO,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,0
22,O[Al](O)OS(=O)(=O)OC[C@@]1(O[C@H]2[C@H](OS(=O)(O[Al](O)O)=O)[C@H]([C@@H]([C@@H](COS(O[Al](O)O)(=O)=O)O2)OS(=O)(O[Al](O)O)=O)OS(=O)(O[Al](O)O)=O)O[C@@H]([C@@H](OS(=O)(O[Al](O)O)=O)[C@@H]1OS(O[Al](O)O)(=O)=O)OS(=O)(=O)O[Al](O)O,O=S(=O)(OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O,0
23,O[C@H]1[C@@H]([C@H](O[C@H](O)[C@@H]1F)CO)O,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O,0
24,O[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O[C@]1([C@@H](O)[C@@H]([C@@H](CO)O1)O)CO)CO)O)O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,0
25,C([C@H]1OC([C@@H]([C@H]([C@@H]1O)O)O)=O)O,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
26,[C@@H]([C@H]([C@@H](CO)O)O)(C=O)O,O=C[C@H](O)[C@@H](O)[C@H](O)CO,0
27,O[C@H](CO)[C@H]([C@@H]([C@H](O)CO)O)O,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
28,O[C@H]([C@@H](O)[C@H](O)[C@H](O)CO)C(=O)[O-],O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
29,[C@@H]([C@@H](O)[C@@H]([C@H](O)CO)O)(CO)O,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0
30,NC(N)=[NH2+],NC(N)=[NH2+],0
31,C(C(C(C(F)(F)F)(F)F)(F)F)(F)(F)C(F)(C(F)(C(F)(C(F)(F)Br)F)F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,0
32,FC(C(F)(F)C(F)(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
33,[O-]C(=O)C(C(C(=O)[O-])O)O,O=C([O-])C(O)C(O)C(=O)[O-],0
34,O=C([O-])C(S)C(S)C([O-])=O,O=C([O-])C(S)C(S)C(=O)[O-],0
35,[O-]P(=O)(OCC(Cl)(Cl)Cl)[O-],O=P([O-])([O-])OCC(Cl)(Cl)Cl,0
36,C(C([NH3+])(CO)CO)O,[NH3+]C(CO)(CO)CO,0
37,OCC(CO)O,OCC(O)CO,0
38,C(CO[N+](=O)[O-])(CO[N+]([O-])=O)O[N+](=O)[O-],O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0
39,C(C(S)CS)O,OCC(S)CS,0
40,FC(F)(F)C(C(F)(F)F)(F)F,FC(F)(F)C(F)(F)C(F)(F)F,0
41,FC(F)(F)C(Cl)Br,FC(F)(F)C(Cl)Br,0
42,C(F)(F)OC(Cl)C(F)(F)F,FC(F)OC(Cl)C(F)(F)F,0
43,C(F)(C(F)OC(F)F)(F)F,FC(F)OC(F)C(F)(F)F,0
44,FC(=C(F)F)F,FC(F)=C(F)F,0
45,C([NH3+])C([O-])=O,[NH3+]CC(=O)[O-],0
46,C(C([O-])=O)(O)(CC(=O)[O-])CC(=O)[O-],O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],0
47,FC(C(OC(F)F)(F)F)Cl,FC(F)OC(F)(F)C(F)Cl,0
48,O=C([O-])/C=C/C([O-])=O,O=C([O-])/C=C/C(=O)[O-],0
49,C(N)(N)=[NH+]CCC[C@H]([NH3+])C(=O)[O-],NC(N)=[NH+]CCC[C@H]([NH3+])C(=O)[O-],0
50,C(CN)[NH2+]CCNCC[NH2+]CCN,NCC[NH2+]CCNCC[NH2+]CCN,0
51,[NH3+]CCC(O)(P([O-])([O-])=O)P([O-])([O-])=O,[NH3+]CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],0
52,C(C[NH2+]CCSP([O-])([O-])=O)C[NH3+],[NH3+]CCC[NH2+]CCSP(=O)([O-])[O-],0
53,O=C([O-])C([NH3+])(C(F)F)CCC[NH3+],[NH3+]CCCC([NH3+])(C(=O)[O-])C(F)F,0
54,[O-]P([O-])(C(P([O-])([O-])=O)(CCC[NH3+])O)=O,[NH3+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],0
55,C(CC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)[O-],0
56,C(C(=O)C[NH3+])CC([O-])=O,[NH3+]CC(=O)CCC(=O)[O-],0
57,C(O)CCC([O-])=O,O=C([O-])CCCO,0
58,NC(CC[C@H]([NH3+])C([O-])=O)=O,NC(=O)CC[C@H]([NH3+])C(=O)[O-],0
59,C([C@H](NC(CC[C@H]([NH3+])C(=O)[O-])=O)C(NCC(=O)[O-])=O)SSC[C@@H](C(=O)NCC([O-])=O)NC(=O)CC[C@H]([NH3+])C([O-])=O,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],0
60,[NH3+]CCCCCC(=O)[O-],[NH3+]CCCCCC(=O)[O-],0
61,C([O-])(CCCCCCCC(=O)[O-])=O,O=C([O-])CCCCCCCC(=O)[O-],0
62,O=C([O-])CN(CC(=O)[O-])CC[NH+](CC([O-])=O)CC(=O)[O-],O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],0
63,O=C(C[NH+](CC([O-])=O)CCN(CC([O-])=O)CC[NH+](CC(=O)[O-])CC([O-])=O)[O-],O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],0
64,[NH3+]CCNCC[NH2+]CCN,NCC[NH2+]CCNCC[NH3+],0
65,c1(c(c(c(C(=O)NCC(O)CO)c(c1C(=O)NCC(CO)O)I)I)N(C(CO)=O)CCO)I,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,0
66,O=S(=O)(CCS)[O-],O=S(=O)([O-])CCS,0
67,C(CS)[NH3+],[NH3+]CCS,0
68,[O-]C([O-])=O,O=C([O-])[O-],0
69,O=C([O-])P([O-])(=O)[O-],O=C([O-])P(=O)([O-])[O-],0
70,NC(=O)N,NC(N)=O,0
71,N(O)C(N)=O,NC(=O)NO,0
72,C(OC(C(F)(F)F)C(F)(F)F)F,FCOC(C(F)(F)F)C(F)(F)F,0
73,c1cccc(C2N(C/C(N=c3ccc(Cl)cc3=2)=[NH+]/C)[O-])c1,C/[NH+]=C1/CN([O-])C(c2ccccc2)=c2cc(Cl)ccc2=N1,0
74,c1(O)ccc(cc1)C(=C\C)/C(c1ccc(cc1)O)=C/C,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,0
75,c1([C@H](C(=O)N[C@H]2[C@H]3SCC(=C(C(=O)[O-])N3C2=O)/C=C/C)[NH3+])ccc(cc1)O,C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1,0
