,rand_smi,cano_smi,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
0,c1(cc2sc(S(=O)(N)=O)nc2cc1)OCC,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,O=C1NC(c2ccccc2)C(N1CC)=O,CCN1C(=O)NC(c2ccccc2)C1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
2,C12=CCCC[C@@H]2[C@@H]2[C@H]([C@H]3[C@@]([C@](O)(CC)CC3)(CC2)C)CC1,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,0.0,,0.0,,
3,Cc1cccc(C)c1NC(=O)C(CC)N(CC)CCC,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
4,OC(P(=O)(O)O)(P(O)(O)=O)C,CC(O)(P(=O)(O)O)P(=O)(O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,O(C(CCC(C)(OOC(C)(C)C)C)(C)C)OC(C)(C)C,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6,S(Cl)(c1ccccc1)(=O)=O,O=S(=O)(Cl)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Ic1c(c(I)cc(CC(=O)O)c1)Oc1ccc(c(c1)I)O,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,0.0,,0.0,,1.0,,,1.0,0.0,1.0,0.0,1.0
8,[C@H]([C@@H](CO)O)([C@H](CO)O)O,OC[C@@H](O)[C@H](O)[C@@H](O)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
9,C(CCCCCC([O-])=O)C.C(CCCCCC)C([O-])=O.[Zn+2],CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],,,,,,,,0.0,,0.0,,
10,O(C[C@H]1O[C@H]([C@H](O)[C@@H]1O)[n+]1cccc(c1)C(=O)N)P([O-])(=O)OP(O)(=O)OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@@H]([C@@H]1O)O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
11,C(O)[C@H]1O[C@@H](n2c(=O)[nH]c(c(c2)I)=O)C[C@@H]1O,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,O(CC(C)C)C(=O)C(C)C,CC(C)COC(=O)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,O=C(C(C)=C)OCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Cl/C=C\C[N+]12CN3CN(C2)CN(C3)C1,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,
15,c1cc2c(CC(=O)[O-])cccc2cc1,O=C([O-])Cc1cccc2ccccc12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,C(CCCCCCCCC)OCC(O)CN,CCCCCCCCCCOCC(O)CN,0.0,0.0,0.0,,0.0,,,,,0.0,,
17,c1c(cncc1)C(=O)N(CC)CC,CCN(CC)C(=O)c1cccnc1,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
18,O(c1cc(O)cc(O)c1)C,COc1cc(O)cc(O)c1,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0
19,n1cc(C(OCC)=O)ccc1,CCOC(=O)c1cccnc1,,,,,,,,0.0,,0.0,,
20,CCOc1ccc(c2cccnc21)S(O)(=O)=O,CCOc1ccc(S(=O)(=O)O)c2cccnc12,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0
21,c1cccc(c1)[C@H](C(=O)O)O,O=C(O)[C@H](O)c1ccccc1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,c1c(/N=N/c2ccc(N)cc2)cccc1,Nc1ccc(/N=N/c2ccccc2)cc1,0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0
23,[C@H]1(c2cc(Cl)c(Cl)cc2)c2ccccc2[C@@H](C1)NC,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,,
24,O=C(O[C@@H]1C[C@@H]2CC[C@@H](N2C)C1)c1cc(cc(c1)Cl)Cl,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
25,C(CCN1c2c(ccc(c2)Cl)CCc2c1cccc2)N(C)C,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0
26,OCC#C,C#CCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,c1c(S(O)(=O)=O)c(ccc1)N,Nc1ccccc1S(=O)(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
28,OC(C)(C)CC(C)O,CC(O)CC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,C(CC(C)(N)C)(C)(C)C,CC(C)(C)CC(C)(C)N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,CC(CC(C)C)=O,CC(=O)CC(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,C(CC(=O)C)C,CCCC(C)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,c12nc(N)[nH]c1cccc2,Nc1nc2ccccc2[nH]1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1O,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,1.0
34,c1ccccc1-c1ccccc1,c1ccc(-c2ccccc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,N(C(=O)NC)c1cc(Cl)c(cc1)Cl,CNC(=O)Nc1ccc(Cl)c(Cl)c1,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
36,c1c(C)c(cc(NC(C)=O)c1)Cl,CC(=O)Nc1ccc(C)c(Cl)c1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
37,C(NCCCC)(NCCCC)=S,CCCCNC(=S)NCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,N(C(=O)NCCCC)CCCC,CCCCNC(=O)NCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,c1cccc(N(C(C)C)C(C)C)c1,CC(C)N(c1ccccc1)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,c1(C)cccc(CC)c1,CCc1cccc(C)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,C(CCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1)CC(C)C,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
42,C(C(=O)OC(CO)CO)CCCCCC/C=C\CCCCCCCC,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,C(CC)CCCCCCCC=CC1C(OC(C1)=O)=O,CCCCCCCCCCC=CC1CC(=O)OC1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,c1ccc(cc1Oc1ccccc1)C(OC(=O)C(C(C)C)Nc1c(cc(cc1)C(F)(F)F)Cl)C#N,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,
45,CS(=O)(NC(c1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+](=O)[O-])=O)=O,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,c1(ccccc1)SP(CC)(=S)OCC,CCOP(=S)(CC)Sc1ccccc1,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,C(\CC)=C\CCCCO,CC/C=C\CCCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,C(c1ccccc1N)(Oc1cc2ccccc2cc1)=O,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
49,C1CN2C[C@H](C=C)C1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc21,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
50,C(C)(CCC(C)=O)=O,CC(=O)CCC(C)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,C(CCNCCC#N)#N,N#CCCNCCC#N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,N(c1cc(c(cc1)C=Cc1ccc(cc1S([O-])(=O)=O)N=Nc1ccc(cc1)OCC)S(=O)(=O)[O-])=Nc1ccc(cc1)OCC,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
53,c1ccc2c(c1)C(C(c1ccc3c(c(cc(S(=O)(=O)[O-])c3)S([O-])(=O)=O)n1)C2=O)=O,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0
54,S(=O)(=O)(c1c(N=Nc2ccc(N=Nc3ccc(cc3)S([O-])(=O)=O)cc2)c(c2ccc(NC(=O)c3ccccc3)cc2c1)O)[O-],O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0
55,C1N(CCN(C)C1)C1c2c(Sc3c(C1)cccc3)ccc(SC)c2,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0
