,rand_smi,cano_smi,Y
0,c1(-n2cc(NCCN3CCCCC3)nn2)ccc(c(c1)F)F,Fc1ccc(-n2cc(NCCN3CCCCC3)nn2)cc1F,1
1,C(COc1c(cc(N2C(c3nc(ccc3C2)Sc2ccc(cc2)F)=O)cc1)OC)N1CCCC1,COc1cc(N2Cc3ccc(Sc4ccc(F)cc4)nc3C2=O)ccc1OCCN1CCCC1,0
2,n1(c2c(cc(cc2)C(F)(F)F)c(n1)NCC(NC1CN([C@H]2CC[C@H](CC2)C(=O)OCC)C1)=O)C(=O)N,CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C(N)=O)c4ccc(C(F)(F)F)cc34)C2)CC1,0
3,c12n(c(cnc1ccc(F)c2)=O)C[C@@H](C1CCC(CC1)NCc1nc2NC(COc2cc1)=O)N,N[C@@H](Cn1c(=O)cnc2ccc(F)cc21)C1CCC(NCc2ccc3c(n2)NC(=O)CO3)CC1,0
4,c1(-c2cc(CO)ncc2)cccc2OCC(Cc21)NC(=O)c1cnc(cc1)OCC(F)(F)F,O=C(NC1COc2cccc(-c3ccnc(CO)c3)c2C1)c1ccc(OCC(F)(F)F)nc1,0
5,N(c1nc(N[C@H](c2ncc(cn2)F)C)cnc1)c1n[nH]c(C)c1,Cc1cc(Nc2cncc(N[C@@H](C)c3ncc(F)cn3)n2)n[nH]1,0
6,C(C[N+]1CC[N+](C)CC1)CN1c2cc(Cl)ccc2Sc2ccccc12,C[N+]1CC[N+](CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0
7,C12(C)C(CCC31CCC(=O)O3)C1C(C3(C)C(CC1SC(C)=O)=CC(=O)CC3)CC2,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,0
8,c1c(CN2CCC3(CC2)CCN(CC3)C(c2ccncc2)=O)cccc1Oc1ccccc1,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,1
9,CN(C)C(c1ccc(-c2cnc(c(-c3ccc(nc3)OC)c2)N)cc1)=O,COc1ccc(-c2cc(-c3ccc(C(=O)N(C)C)cc3)cnc2N)cn1,0
10,C1[C@@H]([C@H](CC[C@@H]1N1Cc2c3n(cccn3)nc2C1)c1cc(F)c(cc1F)F)N,N[C@H]1C[C@@H](N2Cc3nn4cccnc4c3C2)CC[C@@H]1c1cc(F)c(F)cc1F,0
