,rand_smi,cano_smi,Y
0,CCCC(=O)Nc1cc(c(cc1)N1CCN(CC1)CC)Cl.Cl,CCCC(=O)Nc1ccc(N2CCN(CC)CC2)c(Cl)c1.Cl,0
1,O1COc2cc3[nH]c(c(cc3cc12)CN(CCCO)Cc1n(nnn1)Cc1ccc(cc1)F)=O,O=c1[nH]c2cc3c(cc2cc1CN(CCCO)Cc1nnnn1Cc1ccc(F)cc1)OCO3,1
2,s1cccc1S(N(c1ccc2oc(=O)sc2c1)C(=O)C)(=O)=O,CC(=O)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1cccs1,1
3,n1(nnnc1C(N1CCN(CC1)Cc1ccncc1)c1ccccc1OC)C(C)(C)C,COc1ccccc1C(c1nnnn1C(C)(C)C)N1CCN(Cc2ccncc2)CC1,1
4,N(c1cccc(c1)NC(=O)C)C(C1CCCN1C(Nc1ccccc1C)=O)=O,CC(=O)Nc1cccc(NC(=O)C2CCCN2C(=O)Nc2ccccc2C)c1,0
5,c1c2c([nH]c(=O)c1CN(CCN1CCOCC1)C(c1n(nnn1)CC1CCCO1)CC)ccc(C)c2,CCC(c1nnnn1CC1CCCO1)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,1
6,Br.N1(CCn2c3c(n(c2=N)CC(c2cc(c(Cl)cc2)Cl)=O)cccc3)CCOCC1,Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,0
7,N1(C(=O)C(/C(C1c1ccc(cc1)OC)=C(/c1ccc(OC)cc1)O)=O)CCCC(O)=O,COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCCC(=O)O)C2c2ccc(OC)cc2)cc1,0
8,CC1(C)Oc2c(cc(C(NC(CC)(C)C)=O)cc2)N(C1=O)CC(OC)=O,CCC(C)(C)NC(=O)c1ccc2c(c1)N(CC(=O)OC)C(=O)C(C)(C)O2,0
9,c1c(CC)sc2nc[nH]c(c12)=O,CCc1cc2c(=O)[nH]cnc2s1,0
10,n1nc(SCC(N(CC)CC)=O)n(CC)c1-c1c(O)cc2c(cccc2)c1,CCN(CC)C(=O)CSc1nnc(-c2cc3ccccc3cc2O)n1CC,1
11,N1(CCC(n2c3c(nn2)cc(C)cc3)CC1)S(c1ccc(cc1)C(=O)N1C(CCCC1C)C)(=O)=O,Cc1ccc2c(c1)nnn2C1CCN(S(=O)(=O)c2ccc(C(=O)N3C(C)CCCC3C)cc2)CC1,1
12,Cl.c12c(OC(CO2)/C(=N/O)N)cccc1,Cl.N/C(=N\O)C1COc2ccccc2O1,0
13,C1C(n2c(SCC(=O)NC(C)(C)C)nnc2Cc2ccc3OCOc3c2)CCCC1,CC(C)(C)NC(=O)CSc1nnc(Cc2ccc3c(c2)OCO3)n1C1CCCCC1,1
14,Cc1ccc2c(c1)nnn2C1CCN(CC(N2c3c(cccc3)CC2C)=O)CC1,Cc1ccc2c(c1)nnn2C1CCN(CC(=O)N2c3ccccc3CC2C)CC1,1
15,C(OCC)(CSC1NC2=C(C(CCC2)=O)C(C=1C#N)C)=O,CCOC(=O)CSC1=C(C#N)C(C)C2=C(CCCC2=O)N1,0
16,c1ccoc1CNC(CSc1n2c3cc(ccc3cc(C)c2nn1)C)=O,Cc1ccc2cc(C)c3nnc(SCC(=O)NCc4ccco4)n3c2c1,1
17,C(N1CCN(CC1)S(=O)(Cc1ccccc1)=O)(=O)OCC,CCOC(=O)N1CCN(S(=O)(=O)Cc2ccccc2)CC1,0
18,C(C)SC1=C(C2(CCCCC2)C(C#N)=C(N1)N)C#N,CCSC1=C(C#N)C2(CCCCC2)C(C#N)=C(N)N1,1
19,s1c(cc2c1cc(C(=O)OCC)n2CC(=O)N1CCN(C(=O)c2occc2)CC1)C,CCOC(=O)c1cc2sc(C)cc2n1CC(=O)N1CCN(C(=O)c2ccco2)CC1,1
20,OCCN(c1cccc(c1)C(C(NC(=O)C)C(OCC)=O)OC(C)=O)CCO,CCOC(=O)C(NC(C)=O)C(OC(C)=O)c1cccc(N(CCO)CCO)c1,0
21,O=C(c1ccccc1)c1cc2c(OCCO2)cc1NC(=O)CC,CCC(=O)Nc1cc2c(cc1C(=O)c1ccccc1)OCCO2,0
22,Cl.c1cn(c(=O)cc1)C(C(c1ccc(cc1)F)=O)C(NCCN(C)C)=O,CN(C)CCNC(=O)C(C(=O)c1ccc(F)cc1)n1ccccc1=O.Cl,0
