,rand_smi,cano_smi,Y
0,c1c(cccc1)[N+](=Nc1ccccc1)[O-],[O-][N+](=Nc1ccccc1)c1ccccc1,2.505
1,BrC(Br)Br,BrC(Br)Br,2.343
2,BrC=C,C=CBr,2.33
3,c1(c(c(Br)ccc1-c1c(Br)c(c(Br)cc1)Br)Br)Br,Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,1.465
4,c1(N=C=S)ccc(cc1)Br,S=C=Nc1ccc(Br)cc1,2.729
5,[nH]1c2ccc(cc2oc1=O)Br,O=c1[nH]c2ccc(Br)cc2o1,2.33
6,c1(ccccc1)Br,Brc1ccccc1,1.765
7,c1c(ccc2c1C(=NCC(=O)N2)c1ncccc1)Br,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,2.21
8,[nH]1c(Br)nc(Br)c1Br,Brc1nc(Br)c(Br)[nH]1,3.952
9,C(Br)Br,BrCBr,3.207
10,O(CC(CBr)Br)P(OCC(CBr)Br)(OCC(CBr)Br)=O,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,2.839
11,BrCC=CCBr,BrCC=CCBr,3.455
12,C(Br)CBr,BrCCBr,3.24
13,C(N1CCN(C(=O)CCBr)CC1)(CCBr)=O,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.209
14,C#CCCCC#C,C#CCCCC#C,1.6030000000000002
15,C(OCC#C)C#C,C#CCOCC#C,2.242
16,C(COCCC1OC1)C1OC1,C(CC1CO1)OCCC1CO1,2.17
17,O1CC1CCCCC1OC1,C(CCC1CO1)CC1CO1,2.124
18,c1ccc(cc1)COCc1ccccc1,c1ccc(COCc2ccccc2)cc1,1.899
19,C1C(O1)COCC1CO1,C(OCC1CO1)C1CO1,2.461
20,C[Si](OP(O[Si](C)(C)C)(=O)O[Si](C)(C)C)(C)C,C[Si](C)(C)OP(=O)(O[Si](C)(C)C)O[Si](C)(C)C,1.961
21,C(CC[Si](Cl)(C)Cl)C#N,C[Si](Cl)(Cl)CCCC#N,1.809
22,O=C1N(c2cc(ccc2)[N+]([O-])=O)C(C(C1)=C)=O,C=C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O,1.968
23,O1C(=C)CC1=O,C=C1CC(=O)O1,2.176
24,N#CC=C,C=CC#N,2.833
25,C(C(=O)NCNC(=O)C=C)=C,C=CC(=O)NCNC(=O)C=C,2.597
26,C(=C)C(=O)OC1C2CCC(C2)C1,C=CC(=O)OC1CC2CCC1C2,1.4680000000000002
27,C1(COC(C=C)=O)OC1,C=CC(=O)OCC1CO1,2.785
28,C(=C)C(=O)OCCC#N,C=CC(=O)OCCC#N,2.842
29,C=CC(=O)OCCOC(=O)C=C,C=CC(=O)OCCOC(=O)C=C,2.754
30,C(COC(C=C)=O)Oc1ccccc1,C=CC(=O)OCCOc1ccccc1,1.569
31,C(COCCC#N)OC(=O)C=C,C=CC(=O)OCCOCCC#N,2.1790000000000003
32,O=C(C=C)OCCOCCOC(C=C)=O,C=CC(=O)OCCOCCOC(=O)C=C,2.729
33,C(=C)C=C,C=CC=C,0.994
34,C=CC=CC=C,C=CC=CC=C,2.582
35,c1ccc(cc1)NN=CC=C,C=CC=NNc1ccccc1,2.32
36,C(=O)C=C,C=CC=O,3.0860000000000003
37,c1ccccc1C=C,C=Cc1ccccc1,1.319
38,c1cc(ncc1)C=C,C=Cc1ccccn1,3.022
39,c1(ccncc1)C=C,C=Cc1ccncc1,3.022
40,C1C2C=CC(C1C=C)C2,C=CC1CC2C=CC1C2,1.44
41,C1(CCC(C=C)OC1)C=C,C=CC1CCC(C=C)OC1,1.75
42,C=CC1CC=CCC1,C=CC1CC=CCC1,1.625
43,O1C2C1CC(CC2)C=C,C=CC1CCC2OC2C1,1.793
44,O1C(C=C)OCC2(COC(C=C)OC2)C1,C=CC1OCC2(CO1)COC(C=C)OC2,1.7180000000000002
45,C(CC=C)#N,C=CCC#N,2.766
46,c12cc(CC=C)ccc1OCO2,C=CCc1ccc2c(c1)OCO2,1.92
47,c1ccc(CC=C)c(OCC2OC2)c1CC=C,C=CCc1cccc(CC=C)c1OCC1CO1,1.71
48,C(=C)CC1C(=O)OC(=O)C1,C=CCC1CC(=O)OC1=O,2.117
49,O=CCCC=C,C=CCCC=O,2.132
50,C(=C)CN(CC=C)CC=C,C=CCN(CC=C)CC=C,2.125
51,O=NN(CC=C)CC=C,C=CCN(CC=C)N=O,2.198
52,C(C=C)N=C=S,C=CCN=C=S,2.947
53,C(CNCC=C)=C,C=CCNCC=C,2.226
54,C=CCOC(C=CC(=O)OCC=C)=O,C=CCOC(=O)C=CC(=O)OCC=C,2.8160000000000003
55,C(=O)(c1ccccc1C(=O)OCC=C)OCC=C,C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.505
56,c1cc(ccc1)CC(=O)OCC=C,C=CCOC(=O)Cc1ccccc1,2.4330000000000003
57,C1CCC(CC(OCC=C)=O)CC1,C=CCOC(=O)CC1CCCCC1,2.306
58,O=C(CCC1CCCCC1)OCC=C,C=CCOC(=O)CCC1CCCCC1,2.526
59,C(OCC=C)(OCC=C)C(OCC=C)OCC=C,C=CCOC(OCC=C)C(OCC=C)OCC=C,2.256
60,C(=C)COC=C,C=CCOC=C,2.185
61,C(OCC=C)=O,C=CCOC=O,2.842
62,C1C(NC(=O)c2ccccc2OCC=C)CCCC1,C=CCOc1ccccc1C(=O)NC1CCCCC1,2.335
63,O(C1CC2CC1CC2OCC=C)CC=C,C=CCOC1CC2CC1CC2OCC=C,1.747
64,C=CCOCC=C,C=CCOCC=C,2.487
65,C(OCCC#N)C=C,C=CCOCCC#N,1.932
66,C1N(C=C)C1,C=CN1CC1,2.895
67,C1(CCCN1C=C)=O,C=CN1CCCC1=O,1.879
68,c1cc(C(=O)OC=C)ccc1,C=COC(=O)c1ccccc1,1.659
69,C(OC=O)=C,C=COC=O,1.4069999999999998
70,C(COCCOC=C)OC=C,C=COCCOCCOC=C,1.6269999999999998
71,C(=C)S(C=C)(=O)=O,C=CS(=O)(=O)C=C,3.567
72,O=C,C=O,1.574
73,n1ccc(cc1)-c1ccncc1,c1cc(-c2ccncc2)ccn1,2.958
74,n1(C(c2ccc(-c3ccccc3)cc2)c2ccccc2)ccnc1,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,2.327
75,c1cc(-c2ccccc2)ccc1,c1ccc(-c2ccccc2)cc1,1.808
76,c1(N=Nc2ccccc2)ccccc1,c1ccc(N=Nc2ccccc2)cc1,2.261
77,c1c(cccc1)P(c1ccccc1)c1ccccc1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,2.574
78,c1cnc(cc1)-c1ncccc1,c1ccc(-c2ccccn2)nc1,3.194
79,n1ccc2c(c1)cccc2,c1ccc2cnccc2c1,2.555
80,c1ccccc1,c1ccccc1,1.3730000000000002
81,c1ncccc1,c1ccncc1,1.948
82,c1ccc2c3c(-c4ccccc4-c31)ccc2,c1ccc2c(c1)-c1cccc3cccc-2c13,2.005
83,c12ccccc1cccn2,c1ccc2ncccc2c1,2.591
84,c12c3cccc1ccc1cccc(cc3)c12,c1cc2ccc3cccc4ccc(c1)c2c34,1.875
85,c1c2ccccc2ccc1,c1ccc2ccccc2c1,2.418
86,C1=CCC=CC=C1,C1=CC=CCC=C1,3.209
87,C1CC2C(C3CC2C=C3)C=1,C1=CC2C3C=CC(C3)C2C1,2.573
88,C1C2C(CC=CC2)C=C1,C1=CCC2CC=CC2C1,1.508
89,C12C=CC(C1)C=C2,C1=CC2C=CC1C2,2.015
90,C12C(CC3C1O3)CC1C(O1)C2,C1C2CC3OC3C2CC2OC12,1.852
91,O1C2C3C4C(C5C(C4)O5)C(C3)C12,C1C2OC2C2C1C1CC2C2OC12,2.893
92,C1(C2CCC=CC2)CC2C=CC1C2,C1=CCC(C2CC3C=CC2C3)CC1,1.609
93,C1CCC=C1,C1=CCCC1,1.614
94,S1SC2C3CCC(C2S1)C3,C1CC2CC1C1SSSC21,2.802
95,C1(CNCC2C3CCC(C3)C2)CC2CCC1C2,C1CC2CC1CC2CNCC1CC2CCC1C2,2.219
96,C1C(C2OC2C1)OC1C2C(O2)CC1,C1CC2OC2C1OC1CCC2OC12,1.93
97,C1(CCC2OC2C1)C1CO1,C1CC2OC2CC1C1CO1,1.818
98,C1CCCC1OC1CCCC1,C1CCC(OC2CCCC2)C1,2.516
99,C1CC(CCC1)Nc1ccc(cc1)Nc1ccccc1,c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,2.124
100,C1(CCCCC1)NC1CCCCC1,C1CCC(NC2CCCCC2)CC1,2.687
101,c1ccc(CNc2ncnc3c2ncn3C2OCCCC2)cc1,c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,2.276
102,c1cccc2CCCCc21,c1ccc2c(c1)CCCC2,1.665
103,C1CCCC2C1CCCC2,C1CCC2CCCCC2C1,1.521
104,C12C(O1)CCCC2,C1CCC2OC2C1,1.954
105,C1CCCCC1,C1CCCCC1,0.821
106,C1CCCNCC1,C1CCCNCC1,2.384
107,C12N(CCCC2)CC2C3CCCCN3CC1C2,C1CCN2CC3CC(CN4CCCCC34)C2C1,2.388
108,C1CCCCn2nnnc21,C1CCc2nnnn2CC1,2.994
109,C1CCCNC1,C1CCNCC1,2.3280000000000003
110,C1COCC1,C1CCOC1,1.408
111,c1ccc(cc1)N1CCNCC1,c1ccc(N2CCNCC2)cc1,2.888
112,O1CCN(C(c2ccccc2)(c2ccccc2)c2ccccc2)CC1,c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1,3.599
113,N1(c2ccccc2)CCOCC1,c1ccc(N2CCOCC2)cc1,2.244
114,c1ccc2c(c1)nc(SN1CCOCC1)s2,c1ccc2sc(SN3CCOCC3)nc2c1,2.105
115,N1=C(CCC1)c1cnccc1,c1cncc(C2=NCCC2)c1,1.892
116,C1NC1,C1CN1,3.458
117,c1(N2CC2)nc(nc(N2CC2)n1)N1CC1,C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.31
118,N12CCC(CC1)C(CN1c3c(Sc4ccccc14)cccc3)C2,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,3.119
119,N1CCNCC1,C1CNCCN1,1.656
120,C1CCNCCN1,C1CNCCNC1,1.5490000000000002
121,C1CO1,C1CO1,2.787
122,C1OC1COC1OCCOC1OCC1OC1,C1COC(OCC2CO2)C(OCC2CO2)O1,2.337
123,O1CCNCC1,C1COCCN1,1.919
124,O1CCOCCOCCOCC1,C1COCCOCCOCCO1,1.794
125,C1COCCOCCOCCOCCO1,C1COCCOCCOCCOCCO1,2.194
126,C1COCCOCCOCCOCCOCCO1,C1COCCOCCOCCOCCOCCO1,2.279
127,C1OCCO1,C1COCO1,1.393
128,C1SC1,C1CS1,2.529
129,C1OCCSC1,C1CSCCO1,1.5659999999999998
130,c12c(cc(C3CO3)cc1)O2,c1cc2c(cc1C1CO1)O2,1.676
131,C1(OC1)c1ccccc1,c1ccc(C2CO2)cc1,1.779
132,C1(C2OC2)CO1,C1OC1C1CO1,3.043
133,c1(cccc(CC2CO2)c1)CC1CO1,c1cc(CC2CO2)cc(CC2CO2)c1,1.6569999999999998
134,C(C1OC1)N(CC1OC1)c1ccccc1,c1ccc(N(CC2CO2)CC2CO2)cc1,2.103
135,C1(CO1)Cc1c(c(CC2OC2)ccc1)OCC1CO1,c1cc(CC2CO2)c(OCC2CO2)c(CC2CO2)c1,2.209
136,C1C(O1)COc1cc(OCC2CO2)ccc1,c1cc(OCC2CO2)cc(OCC2CO2)c1,1.937
137,c1c2OCOc2ccc1,c1ccc2c(c1)OCO2,2.323
138,BrC,CBr,2.647
139,N#CC,CC#N,1.177
140,C(C)(=C)C#N,C=C(C)C#N,2.747
141,c1(c(Cl)ccc(NC(=O)C(=C)C)c1)Cl,C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.107
142,O1[Si]2(OCCN(CCO2)CC1)COC(C(C)=C)=O,C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2,1.536
143,O(CC=C)C(C(=C)C)=O,C=CCOC(=O)C(=C)C,2.467
144,C(=O)(OCC1OC1)C(C)=C,C=C(C)C(=O)OCC1CO1,2.377
145,C(OC(C(=C)C)=O)CCl,C=C(C)C(=O)OCCCl,2.8710000000000004
146,C=C(C(C)=O)C,C=C(C)C(C)=O,2.67
