,rand_smi,cano_smi,Y
0,C1(/C(=C2\c3ccccc3N(CC)C2=O)SC(=S)N1CCCOC)=O,CCN1C(=O)/C(=C2\SC(=S)N(CCCOC)C2=O)c2ccccc21,1
1,c1(nc(-c2ccccc2)n[nH]1)-c1c(Cl)cccc1,Clc1ccccc1-c1nc(-c2ccccc2)n[nH]1,1
2,c1c(ccnc1)CN1CCN(C(c2n(nnn2)C(C)(C)C)c2ccccc2OC)CC1,COc1ccccc1C(c1nnnn1C(C)(C)C)N1CCN(Cc2ccncc2)CC1,1
3,C(NC(=O)Cn1nc(-c2ccncc2)nn1)c1ccccc1OC,COc1ccccc1CNC(=O)Cn1nnc(-c2ccncc2)n1,1
4,C1CC(Cn2nnnc2C(N(CCN2CCOCC2)Cc2c(=O)[nH]c3ccc(cc3c2)C)CC)OC1,CCC(c1nnnn1CC1CCCO1)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,0
5,Br.c1(=N)n(CC(=O)c2cc(Cl)c(cc2)Cl)c2ccccc2n1CCN1CCOCC1,Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,1
6,N1(C(c2ccc(cc2)OC)/C(C(=O)C1=O)=C(\c1ccc(OC)cc1)O)CCCC(O)=O,COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCCC(=O)O)C2c2ccc(OC)cc2)cc1,0
7,C(C(OC)=O)N1C(C(C)(C)Oc2ccc(cc21)C(=O)NC(C)(CC)C)=O,CCC(C)(C)NC(=O)c1ccc2c(c1)N(CC(=O)OC)C(=O)C(C)(C)O2,1
8,N(C(c1c[nH]c2c(cccc2c1=O)OC)=O)Cc1cccs1,COc1cccc2c(=O)c(C(=O)NCc3cccs3)c[nH]c12,1
9,c1(n(C2CCCCC2)c(Cc2cc3OCOc3cc2)nn1)SCC(NC(C)(C)C)=O,CC(C)(C)NC(=O)CSc1nnc(Cc2ccc3c(c2)OCO3)n1C1CCCCC1,0
10,c12nc(C)c(c(NCCc3ccc(cc3)OC)n1ncn2)CC,CCc1c(C)nc2ncnn2c1NCCc1ccc(OC)cc1,1
11,N(Cc1occc1)C(CSc1n2c(nn1)c(cc1c2cc(cc1)C)C)=O,Cc1ccc2cc(C)c3nnc(SCC(=O)NCc4ccco4)n3c2c1,1
12,S(c1ccccc1F)(=O)(N1CCC(CC1)C(=O)c1cc2c(OCCO2)cc1)=O,O=C(c1ccc2c(c1)OCCO2)C1CCN(S(=O)(=O)c2ccccc2F)CC1,0
13,c1cc(ccc1)CS(N1CCN(C(OCC)=O)CC1)(=O)=O,CCOC(=O)N1CCN(S(=O)(=O)Cc2ccccc2)CC1,0
14,C1(NC(N)=C(C#N)C2(C=1C#N)CCCCC2)SCC,CCSC1=C(C#N)C2(CCCCC2)C(C#N)=C(N)N1,1
15,c1(n2c(nc(-c3ccccc3)c1)ncn2)N1CCN(c2ncc(C(F)(F)F)cc2)CC1,FC(F)(F)c1ccc(N2CCN(c3cc(-c4ccccc4)nc4ncnn34)CC2)nc1,1
16,C(CN(CCO)c1cc(C(C(NC(C)=O)C(=O)OCC)OC(C)=O)ccc1)O,CCOC(=O)C(NC(C)=O)C(OC(C)=O)c1cccc(N(CCO)CCO)c1,0
17,Cl.O=C(C(C(NCCN(C)C)=O)n1c(cccc1)=O)c1ccc(F)cc1,CN(C)CCNC(=O)C(C(=O)c1ccc(F)cc1)n1ccccc1=O.Cl,0
18,C1(=O)N(C2CCCCC2)C(C(C(=O)N1C1CCCCC1)=CN(C)C)=O,CN(C)C=C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O,1
19,n1c(oc(-c2ccc(cc2)OCC)n1)-c1ccncc1,CCOc1ccc(-c2nnc(-c3ccncc3)o2)cc1,1
20,c1(c(snc1C(N)=O)C(=O)N(C(C(=O)NC1CCCC1)C)c1ccc2c(OCCO2)c1)N,CC(C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)c1ccc2c(c1)OCCO2,1
21,C1CCCN(C1)C(=O)CCC(Nc1n(c(cn1)-c1ccc(C)cc1)C)=O,Cc1ccc(-c2cnc(NC(=O)CCC(=O)N3CCCCC3)n2C)cc1,0
22,n1c(cc(n1-c1nc2c(c([nH]c(=O)n2C)=O)n1C(C)C)C)C,Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2C(C)C)n1,0
23,c1c(N2C(=O)C(C)(CCC#N)N=C2SCCC#N)cccc1,CC1(CCC#N)N=C(SCCC#N)N(c2ccccc2)C1=O,0
24,N(C(=O)COc1ccccc1C)c1cc(c(cc1)N1CCN(C(C(C)C)=O)CC1)Cl,Cc1ccccc1OCC(=O)Nc1ccc(N2CCN(C(=O)C(C)C)CC2)c(Cl)c1,1
25,Cl.n1c(nccc1)N1CCN(CC1)CC(=O)NCCC1CCCCC=1,Cl.O=C(CN1CCN(c2ncccn2)CC1)NCCC1=CCCCC1,1
26,C1N(C(Nc2cccc(NC(N3CCN(CC3)c3ccccc3)=O)c2)=O)CCN(c2ccccc2)C1,O=C(Nc1cccc(NC(=O)N2CCN(c3ccccc3)CC2)c1)N1CCN(c2ccccc2)CC1,1
27,N(C1CCCCC1)C(=O)CN1CCC(c2cc(F)ccc2)(CC1)NC(C)=O,CC(=O)NC1(c2cccc(F)c2)CCN(CC(=O)NC2CCCCC2)CC1,0
28,c1(S(=O)(N2CCN(CC2)c2c(ccc(Cl)c2)C)=O)cc2c(OCCO2)cc1,Cc1ccc(Cl)cc1N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,1
29,C(c1c(sc(c1C)C)NC(CSc1n(C)nnn1)=O)(=O)OCC,CCOC(=O)c1c(NC(=O)CSc2nnnn2C)sc(C)c1C,1
30,c1(oc(C)cc1)C(=O)C1=C(C(=O)N(C1c1cc(OCC)ccc1)Cc1ccncc1)O,CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2Cc2ccncc2)c1,1
31,c1c(C)cc2cc(CN(CCCO)C(c3nnnn3C(C)(CC)C)C(C)C)c([nH]c2c1)=O,CCC(C)(C)n1nnnc1C(C(C)C)N(CCCO)Cc1cc2cc(C)ccc2[nH]c1=O,1
32,c1c(c(=O)[nH]c2cc(c(OC)cc21)OC)CN(S(=O)(c1c(cccc1)Cl)=O)CCCO,COc1cc2cc(CN(CCCO)S(=O)(=O)c3ccccc3Cl)c(=O)[nH]c2cc1OC,1
33,c1(SCC(Nc2nnc(CC)s2)=O)nnc(n1Cc1ccccc1)COc1ccccc1,CCc1nnc(NC(=O)CSc2nnc(COc3ccccc3)n2Cc2ccccc2)s1,0
34,CC(Cn1c(SCC(N2CCOCC2)=O)ncc1-c1ccc(cc1)Cl)C,CC(C)Cn1c(-c2ccc(Cl)cc2)cnc1SCC(=O)N1CCOCC1,1
35,Cl.n1cnc2sc(CC)cc2c1NCc1occc1,CCc1cc2c(NCc3ccco3)ncnc2s1.Cl,1
36,c12cc(sc2ncnc1NCCO)CC,CCc1cc2c(NCCO)ncnc2s1,1
37,[nH]1c(=O)n(C)c2nc(-n3c(cc(C)n3)C)n(c2c1=O)CC(C)C,Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2CC(C)C)n1,0
38,Brc1ccc(-c2c(c(n[nH]2)N)Cl)cc1,Nc1n[nH]c(-c2ccc(Br)cc2)c1Cl,1
39,C(C#N)CN(CC(Nc1ccc(NC(=O)CN(CCC#N)C)cc1)=O)C,CN(CCC#N)CC(=O)Nc1ccc(NC(=O)CN(C)CCC#N)cc1,0
40,N(c1cc2c(c(c(Br)c(=O)o2)Cl)cc1)(CC)CC,CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1,1
41,O=C(C(NCc1occc1)CC(=O)O)Nc1cc(OC)ccc1OC,COc1ccc(OC)c(NC(=O)C(CC(=O)O)NCc2ccco2)c1,0
42,C1(=O)CC(c2c(cc3c(c2)OCO3)N1)c1sccc1,O=C1CC(c2cccs2)c2cc3c(cc2N1)OCO3,1
